Transaction_ID,Transaction_Date,Amount,Transaction_Type
17179869184,2024-02-21T23:29:49.007+03:00,808.96,Deposit
17179869185,2024-01-05T01:54:58.684+03:00,514.57,Withdrawal
17179869186,2024-04-28T17:07:31.125+03:00,729.84,Deposit
17179869187,2024-03-22T05:51:44.410+03:00,95.69,Transfer
17179869188,2024-03-09T03:07:03.871+03:00,648.03,Deposit
17179869189,2024-04-17T06:59:00.512+03:00,451.0,Withdrawal
17179869190,2024-02-16T23:03:05.647+03:00,259.45,Withdrawal
17179869191,2024-01-04T18:19:38.073+03:00,827.72,Transfer
17179869192,2024-03-28T19:07:41.336+03:00,782.43,Deposit
17179869193,2024-02-12T15:47:21.136+03:00,446.96,Deposit
17179869194,2024-02-03T12:42:58.737+03:00,328.26,Deposit
17179869195,2024-01-04T09:50:24.041+03:00,278.52,Withdrawal
17179869196,2024-02-21T23:47:15.429+03:00,218.94,Withdrawal
17179869197,2024-02-01T05:42:26.653+03:00,254.55,Withdrawal
17179869198,2024-03-27T09:20:45.385+03:00,441.28,Transfer
17179869199,2024-03-24T04:32:33.156+03:00,437.21,Withdrawal
17179869200,2024-01-12T03:29:59.065+03:00,574.75,Withdrawal
17179869201,2024-03-24T11:22:05.926+03:00,356.42,Transfer
17179869202,2024-01-12T11:48:31.650+03:00,811.86,Deposit
17179869203,2024-01-09T14:10:29.555+03:00,61.64,Withdrawal
17179869204,2024-03-29T21:06:24.818+03:00,107.15,Transfer
17179869205,2024-01-20T15:06:55.845+03:00,923.99,Withdrawal
17179869206,2024-04-25T01:33:01.463+03:00,954.7,Deposit
17179869207,2024-03-02T00:20:21.777+03:00,501.88,Withdrawal
17179869208,2024-02-26T13:07:57.372+03:00,715.78,Withdrawal
17179869209,2024-04-06T22:13:58.229+03:00,508.21,Transfer
17179869210,2024-03-03T22:11:16.591+03:00,200.46,Deposit
17179869211,2024-02-29T08:12:06.709+03:00,78.12,Transfer
17179869212,2024-04-17T17:10:57.805+03:00,683.24,Withdrawal
17179869213,2024-02-11T05:16:19.321+03:00,370.56,Withdrawal
17179869214,2024-02-18T08:23:24.181+03:00,462.94,Transfer
17179869215,2024-04-28T12:37:51.941+03:00,367.87,Withdrawal
17179869216,2024-04-13T10:03:51.795+03:00,558.5,Withdrawal
17179869217,2024-02-07T16:36:03.557+03:00,324.99,Transfer
17179869218,2024-01-07T12:27:14.688+03:00,204.32,Deposit
17179869219,2024-04-23T07:44:28.639+03:00,125.61,Deposit
17179869220,2024-03-22T16:35:50.597+03:00,650.09,Withdrawal
17179869221,2024-02-12T04:57:42.830+03:00,596.18,Withdrawal
17179869222,2024-02-04T05:35:08.716+03:00,451.17,Transfer
17179869223,2024-02-15T23:44:22.592+03:00,864.27,Deposit
17179869224,2024-01-31T04:07:49.977+03:00,574.89,Deposit
17179869225,2024-04-25T00:28:21.128+03:00,125.3,Transfer
17179869226,2024-03-07T05:55:49.820+03:00,526.25,Deposit
17179869227,2024-04-06T16:17:47.773+03:00,463.58,Deposit
17179869228,2024-01-08T21:05:40.365+03:00,99.86,Deposit
17179869229,2024-04-15T11:38:13.606+03:00,846.45,Withdrawal
17179869230,2024-02-11T00:14:32.588+03:00,760.58,Withdrawal
17179869231,2024-02-15T01:49:54.987+03:00,484.86,Transfer
17179869232,2024-02-27T17:39:57.861+03:00,868.87,Transfer
17179869233,2024-01-10T13:05:26.872+03:00,411.92,Deposit
17179869234,2024-01-09T02:05:18.782+03:00,171.43,Withdrawal
17179869235,2024-03-26T01:17:49.175+03:00,849.58,Deposit
17179869236,2024-03-06T09:28:37.562+03:00,206.71,Deposit
17179869237,2024-02-29T10:16:35.537+03:00,670.46,Deposit
17179869238,2024-04-02T12:50:52.836+03:00,687.91,Withdrawal
17179869239,2024-02-04T10:20:20.596+03:00,995.16,Withdrawal
17179869240,2024-04-10T04:26:25.963+03:00,327.25,Deposit
17179869241,2024-03-25T06:50:55.615+03:00,934.5,Transfer
17179869242,2024-04-27T00:31:58.344+03:00,712.84,Withdrawal
17179869243,2024-01-24T09:01:36.714+03:00,459.22,Deposit
17179869244,2024-01-11T01:14:15.309+03:00,676.59,Withdrawal
17179869245,2024-01-02T07:39:49.544+03:00,480.16,Deposit
17179869246,2024-03-23T04:49:44.178+03:00,784.8,Withdrawal
17179869247,2024-01-01T21:20:37.079+03:00,611.53,Transfer
17179869248,2024-02-20T05:38:52.771+03:00,510.07,Deposit
17179869249,2024-01-19T07:38:25.354+03:00,830.35,Deposit
17179869250,2024-01-22T00:20:19.604+03:00,554.13,Deposit
17179869251,2024-03-19T19:50:56.933+03:00,655.58,Withdrawal
17179869252,2024-02-19T23:51:01.524+03:00,549.2,Deposit
17179869253,2024-01-19T13:03:54.977+03:00,461.84,Withdrawal
