Transaction_ID,Transaction_Date,Amount,Transaction_Type
34359738368,2024-02-18T04:18:46.560+03:00,734.92,Transfer
34359738369,2024-04-27T19:38:35.183+03:00,647.44,Transfer
34359738370,2024-01-20T20:57:07.452+03:00,405.14,Deposit
34359738371,2024-01-26T01:50:22.210+03:00,718.34,Withdrawal
34359738372,2024-01-01T10:28:03.156+03:00,893.1,Withdrawal
34359738373,2024-01-21T17:57:04.073+03:00,718.77,Deposit
34359738374,2024-03-12T10:52:16.005+03:00,173.75,Deposit
34359738375,2024-01-15T22:58:03.509+03:00,993.45,Transfer
34359738376,2024-02-09T20:32:28.315+03:00,281.14,Withdrawal
34359738377,2024-04-29T23:02:19.894+03:00,355.59,Withdrawal
34359738378,2024-04-04T14:31:49.502+03:00,995.5,Withdrawal
34359738379,2024-03-27T12:50:15.195+03:00,454.12,Withdrawal
34359738380,2024-01-31T01:36:36.064+03:00,301.39,Withdrawal
34359738381,2024-01-18T12:46:44.359+03:00,721.69,Withdrawal
34359738382,2024-04-26T16:31:40.523+03:00,739.12,Transfer
34359738383,2024-01-14T03:29:02.273+03:00,614.58,Withdrawal
34359738384,2024-03-28T20:16:53.770+03:00,400.24,Transfer
34359738385,2024-01-05T19:39:47.367+03:00,897.44,Deposit
34359738386,2024-02-23T09:07:09.855+03:00,667.7,Withdrawal
34359738387,2024-01-04T13:04:52.310+03:00,417.12,Withdrawal
34359738388,2024-03-25T14:16:44.102+03:00,937.43,Transfer
34359738389,2024-02-15T09:51:27.000+03:00,562.81,Withdrawal
34359738390,2024-01-27T20:45:59.617+03:00,596.73,Transfer
34359738391,2024-04-21T13:56:25.577+03:00,989.05,Transfer
34359738392,2024-02-16T10:27:43.814+03:00,640.15,Transfer
34359738393,2024-04-27T17:35:12.574+03:00,924.67,Transfer
34359738394,2024-01-25T22:31:46.518+03:00,162.72,Deposit
34359738395,2024-02-15T13:44:40.685+03:00,719.39,Deposit
34359738396,2024-01-29T17:24:26.514+03:00,21.55,Transfer
34359738397,2024-01-28T17:22:10.899+03:00,595.91,Deposit
34359738398,2024-01-22T01:34:14.538+03:00,837.93,Deposit
34359738399,2024-04-22T05:42:17.242+03:00,552.24,Deposit
34359738400,2024-01-11T23:12:01.729+03:00,198.06,Transfer
34359738401,2024-04-16T06:47:34.312+03:00,582.18,Deposit
34359738402,2024-04-17T04:48:52.274+03:00,334.91,Transfer
34359738403,2024-04-12T11:17:37.489+03:00,473.31,Deposit
34359738404,2024-04-29T05:59:58.498+03:00,120.46,Withdrawal
34359738405,2024-03-20T07:58:07.820+03:00,771.72,Deposit
34359738406,2024-03-07T20:39:37.373+03:00,991.11,Deposit
